customerproductrating_id,customer_id,product_id,ratings,review,sentiment
5760,83,206,2.5,"Avoid this product, it''s a complete letdown.",bad
5761,356,76,4.5,Great quality and value for money.,good
5762,92,344,4.0,Very satisfied with the product. Will buy again.,good
5763,270,212,4.5,"Outstanding product, I''m a happy customer.",good
5764,270,439,3.5,"Fantastic purchase, exceeded my expectations.",good
5765,412,121,1.5,Product didn't meet my expectations at all.,bad
5766,28,109,4.5,Great quality and value for money.,good
5767,323,294,4.5,Couldn't be happier with my purchase.,good
5768,173,27,4.0,"Top-notch quality, worth every penny.",good
5769,184,247,3.5,"Fantastic purchase, exceeded my expectations.",good
5770,258,410,2.0,Overpriced for the low quality.,bad
5771,378,213,3.0,"Waste of money, poor quality.",bad
5772,126,327,2.5,"Terrible product, do not buy!",bad
5773,422,412,4.0,Excellent product! Highly recommended.,good
5774,469,57,1.0,"False advertising, don''t trust the product description.",bad
5775,489,375,2.0,"Cheaply made, fell apart after a short time.",bad
5776,322,135,2.0,"Terrible product, do not buy!",bad
5777,112,483,4.5,"Fantastic purchase, exceeded my expectations.",good
5778,115,20,4.5,Impressed with the features and performance.,good
5779,168,450,2.0,Overpriced for the low quality.,bad
5780,291,94,4.0,"Delivered on time, and the product is perfect.",good
5781,450,258,3.5,Excellent product! Highly recommended.,good
5782,424,66,1.0,"Waste of money, poor quality.",bad
5783,195,496,1.5,"Avoid this product, it''s a complete letdown.",bad
5784,449,180,2.0,"Waste of money, poor quality.",bad
5785,347,103,1.5,"Product arrived damaged, no response from customer service.",bad
5786,82,320,2.5,Overpriced for the low quality.,bad
5787,145,70,3.5,Couldn't be happier with my purchase.,good
5788,468,52,2.5,"Not as advertised, very disappointed.",bad
5789,159,233,2.5,"Avoid this product, it''s a complete letdown.",bad
5790,483,360,1.5,Overpriced for the low quality.,bad
5791,334,272,4.5,Very satisfied with the product. Will buy again.,good
5792,103,280,2.0,Product didn't meet my expectations at all.,bad
5793,178,165,2.5,"Product arrived damaged, no response from customer service.",bad
5794,153,451,3.5,Great quality and value for money.,good
5795,31,103,1.5,"Very dissatisfied, regretting my purchase.",bad
5796,439,382,3.5,"Top-notch quality, worth every penny.",good
5797,301,345,4.0,Great quality and value for money.,good
5798,213,236,4.0,Great quality and value for money.,good
5799,363,156,4.5,"Delivered on time, and the product is perfect.",good
5800,85,81,4.0,Couldn't be happier with my purchase.,good
5801,353,372,3.5,Impressed with the features and performance.,good
5802,26,360,3.0,"Waste of money, poor quality.",bad
5803,269,242,2.5,"Waste of money, poor quality.",bad
5804,432,433,3.5,Couldn't be happier with my purchase.,good
5805,253,281,3.5,Great quality and value for money.,good
5806,326,138,4.0,"Quality product, exactly as described.",good
5807,432,31,2.0,"Product arrived damaged, no response from customer service.",bad
5808,265,80,4.0,Impressed with the features and performance.,good
5809,67,490,3.5,Great quality and value for money.,good
5810,297,253,4.5,"Quality product, exactly as described.",good
5811,468,113,4.5,Great quality and value for money.,good
5812,220,213,3.5,"Quality product, exactly as described.",good
5813,41,467,2.0,"Terrible product, do not buy!",bad
