order_id_surrogate,order_id,customer_id,order_date,campaign_id,amount,payment_method_id
1,1,373,2022-11-20,,8352,4
2,2,408,2021-09-05,,3582,2
3,3,101,2019-06-02,,7964,5
4,4,247,2020-10-12,,29371,1
5,5,361,2022-11-04,5,15620,5
6,6,295,2018-09-21,,45001,5
7,7,252,2018-09-03,8,10243,2
8,8,488,2020-09-30,,12405,2
9,9,227,2016-11-22,,21059,3
10,10,279,2019-07-22,,8972,4
11,11,484,2019-04-08,,14947,3
12,12,314,2019-08-24,14,3553,4
13,13,333,2020-04-14,3,13101,3
14,14,463,2018-04-10,,22147,1
15,15,285,2016-03-17,,4589,2
16,16,221,2021-03-14,,3330,2
17,17,370,2020-04-04,,4436,5
18,18,240,2021-09-22,,5325,3
19,19,497,2019-02-27,,15636,1
20,20,178,2017-02-06,2,4337,1
21,21,194,2020-12-25,7,15270,5
22,22,327,2020-04-04,,30035,1
23,23,159,2021-08-31,,12029,4
24,24,78,2019-06-19,15,12514,1
25,25,20,2019-07-11,,12488,3
26,26,102,2019-01-08,,18942,5
27,27,66,2021-07-03,,27845,3
28,28,58,2017-03-17,,11879,3
29,29,352,2021-05-24,9,7329,4
30,30,167,2017-06-18,13,21400,2
31,31,447,2016-01-25,,32951,1
32,32,299,2021-02-09,2,20758,2
33,33,314,2020-08-30,,1595,4
34,34,327,2017-12-05,11,4727,3
35,35,89,2017-03-13,,16935,5
36,36,153,2017-10-30,5,15822,3
37,37,9,2021-01-27,,9467,2
38,38,311,2016-08-03,,19988,1
39,39,41,2020-04-23,,2879,5
40,40,355,2017-11-15,,19121,1
41,41,457,2019-03-05,,8218,1
42,42,21,2019-04-27,,18483,5
43,43,454,2020-02-28,,4930,4
44,44,136,2019-08-21,14,101,4
45,45,344,2020-09-08,,6625,4
46,46,486,2019-10-22,,14491,2
47,47,448,2018-11-28,6,6961,1
48,48,174,2017-02-13,,12815,4
49,49,237,2018-12-20,,7301,2
50,50,51,2019-12-28,7,31562,1
51,51,423,2020-11-15,,1416,1
52,52,458,2019-03-25,,5771,4
53,53,75,2019-02-15,,28997,2
54,54,485,2016-09-02,,23704,4
55,55,274,2017-06-16,13,8503,5
56,56,346,2016-12-10,11,29172,2
57,57,338,2016-07-05,4,16236,4
58,58,282,2022-12-20,,13066,4
59,59,474,2019-10-13,,15347,2
60,60,111,2019-02-18,,26644,2
61,61,392,2017-02-27,,20830,1
62,62,338,2016-12-11,11,15202,5
63,63,173,2021-07-26,,14530,4
64,64,198,2017-02-19,,46034,4
65,65,55,2022-11-15,,6654,5
66,66,87,2020-08-17,14,18746,5
67,67,309,2019-11-12,,22035,5
68,68,238,2019-09-01,,10669,2
69,69,21,2021-02-21,,11474,5
70,70,242,2018-10-17,,16186,4
71,71,253,2016-01-11,,18707,4
72,72,421,2018-12-16,,12589,4
73,73,380,2019-03-14,,4124,4
74,74,208,2016-03-15,,7992,1
75,75,469,2016-02-11,2,2691,1
76,76,118,2016-08-15,,15217,2
77,77,297,2022-11-26,,9415,2
78,78,202,2020-08-14,,18785,5
79,79,436,2021-02-28,,28767,2
80,80,190,2017-06-25,15,18839,4
81,81,60,2019-04-16,3,25962,2
82,82,342,2019-11-23,,17907,5
83,83,390,2021-01-02,,41595,1
84,84,126,2017-04-04,,543,3
85,85,40,2016-12-13,,19380,5
86,86,309,2022-08-08,,39797,2
87,87,194,2020-02-12,,1930,4
88,88,154,2017-02-14,,29688,3
89,89,264,2019-07-25,,23317,4
90,90,266,2022-04-10,,18497,5
91,91,236,2016-12-17,,21028,5
92,92,242,2018-08-23,14,2203,4
93,93,4,2016-11-24,,6136,5
94,94,283,2020-01-10,,20490,1
95,95,351,2020-06-03,,26931,3
96,96,406,2019-11-28,6,13691,1
97,97,297,2021-09-03,,8377,5
98,98,123,2020-09-22,,31472,3
99,99,140,2022-12-26,7,14006,3
100,100,404,2018-11-18,,9681,4
101,101,192,2021-03-31,,25984,2
102,102,70,2021-03-09,,52067,4
103,103,248,2017-09-02,,17872,5
104,104,98,2021-03-06,,13820,1
105,105,247,2017-11-19,,17211,1
106,106,325,2021-03-25,,5670,4
107,107,183,2022-06-04,,15899,3
108,108,311,2018-01-05,1,15561,4
109,109,251,2022-11-16,,20123,2
110,110,406,2016-05-13,12,14311,1
111,111,179,2019-01-26,,1131,2
112,112,314,2016-07-30,,9862,4
113,113,304,2020-04-27,,13818,4
114,114,402,2017-12-28,7,1907,5
115,115,49,2017-06-22,15,5447,4
116,116,119,2021-05-23,,19676,5
117,117,175,2018-12-01,6,12756,3
118,118,187,2018-05-23,9,19871,1
119,119,417,2022-08-10,,14741,4
120,120,228,2018-09-30,,30440,1
121,121,159,2020-11-09,,15283,3
122,122,360,2018-08-14,,30814,4
123,123,155,2022-11-16,,22820,1
124,124,158,2018-02-16,,19154,5
125,125,166,2021-02-04,16,10877,2
126,126,315,2017-08-08,,24436,2
127,127,484,2019-10-22,,5009,2
128,128,105,2021-07-16,,20962,5
129,129,163,2019-06-13,13,33514,4
130,130,287,2018-08-17,,20987,5
131,131,417,2022-05-14,12,16767,5
132,132,262,2022-12-16,,21605,3
133,133,12,2021-02-17,,10798,5
134,134,175,2019-10-01,,7975,4
135,135,20,2022-05-17,,45733,4
136,136,409,2016-09-13,,16912,5
137,137,313,2016-06-13,13,16158,5
138,138,313,2020-08-28,,883,2
139,139,190,2021-02-15,,19071,5
140,140,357,2022-12-13,,9103,3
141,141,222,2021-06-03,,17891,4
142,142,460,2021-09-17,,6953,5
143,143,391,2020-04-17,3,31133,1
144,144,318,2016-01-26,,42896,5
145,145,124,2019-08-28,,15277,5
146,146,392,2021-01-03,,9476,4
147,147,219,2018-03-17,,25675,1
148,148,257,2017-10-17,,12495,5
149,149,10,2020-12-08,,1967,3
150,150,83,2018-01-25,,14449,3
151,151,191,2019-11-13,,33875,2
152,152,340,2020-07-08,,11296,3
153,153,142,2019-05-23,9,25159,5
154,154,172,2017-07-10,,31524,5
155,155,283,2020-07-02,4,11781,4
156,156,166,2019-11-27,6,15370,4
157,157,291,2016-06-24,15,18774,3
158,158,202,2021-09-13,,21246,3
159,159,498,2020-09-26,,12684,4
160,160,314,2017-11-12,,14386,5
161,161,369,2017-11-28,6,40307,4
162,162,82,2019-09-11,,21521,2
163,163,377,2016-01-03,,17904,1
164,164,99,2019-12-07,11,15548,4
165,165,408,2019-12-22,,5184,4
166,166,196,2016-04-22,3,11302,5
167,167,326,2022-01-26,,10902,1
168,168,87,2020-10-04,,27629,2
169,169,18,2017-03-11,,20626,4
170,170,497,2021-08-15,,35171,2
171,171,180,2022-06-09,,21956,1
172,172,53,2022-12-04,6,18109,5
173,173,61,2016-05-20,,3971,1
174,174,206,2019-12-30,1,17216,5
175,175,31,2017-11-22,,22226,3
176,176,138,2019-11-29,6,6036,1
177,177,106,2016-03-04,,22324,5
178,178,253,2019-06-05,,11745,4
179,179,51,2018-06-15,13,37043,5
180,180,100,2018-12-06,11,7564,2
181,181,329,2019-05-21,9,40248,5
182,182,330,2017-09-22,,19963,2
183,183,300,2018-10-12,,14300,5
184,184,99,2021-07-28,,20639,2
185,185,404,2017-11-08,,5794,4
186,186,287,2017-12-25,7,13724,2
187,187,482,2018-06-21,15,7915,2
188,188,456,2022-12-08,11,25686,4
189,189,190,2020-05-19,9,25605,2
