return_id,order_id,product_id,return_date,reason,amount_refunded
1,28970,167,2016-07-20,Received wrong product,0.00
2,46978,433,2017-02-08,Color doesn't match,152.55
3,41845,60,2016-11-02,Changed my mind,0.00
4,1026,225,2018-08-08,Item not as described,0.00
5,16602,30,2018-08-11,Received wrong product,0.00
6,32669,367,2018-05-31,Changed my mind,500.16
7,2555,227,2020-10-01,Product didn't meet expectations,0.00
8,31659,250,2019-11-05,Size doesn't fit,892.74
9,25315,473,2021-08-30,Color doesn't match,191.92
10,42742,333,2020-11-23,Defective product,0.00
11,21124,169,2021-12-08,Defective product,1179.68
12,44203,22,2018-08-18,Color doesn't match,0.00
13,27229,482,2018-09-02,Found a better deal,0.00
14,48178,356,2018-09-17,Ordered by mistake,88.78
15,6387,232,2021-12-18,Changed my mind,7.04
16,10099,292,2019-08-16,Found a better deal,0.00
17,27348,162,2017-11-30,Product damaged during shipping,0.00
18,30144,216,2016-07-29,Product didn't meet expectations,0.00
19,13540,266,2017-12-21,Size doesn't fit,0.00
20,854,456,2019-04-25,Received wrong product,643.55
21,33985,207,2017-03-03,Defective product,0.00
22,44688,183,2018-05-12,Changed my mind,809.05
23,8850,70,2016-03-17,Changed my mind,0.00
24,30942,263,2022-03-29,Received wrong product,0.00
25,14471,355,2019-01-22,Item not as described,0.00
26,7506,165,2018-06-17,Color doesn't match,0.00
27,17484,252,2019-10-04,Product didn't meet expectations,0.00
28,30999,368,2016-07-15,Ordered by mistake,916.63
29,7686,296,2018-04-05,Color doesn't match,0.00
30,43626,457,2016-10-22,Size doesn't fit,0.00
31,40873,164,2021-09-21,Product didn't meet expectations,0.00
32,24415,21,2021-04-12,Size doesn't fit,0.00
33,1781,383,2021-02-17,Changed my mind,2.54
34,49436,166,2022-04-04,Item not as described,0.00
35,18142,274,2019-11-18,Product damaged during shipping,0.00
36,23262,104,2016-12-14,Ordered by mistake,40.29
37,3710,213,2022-01-28,Found a better deal,0.00
38,18722,4,2020-12-15,Received wrong product,0.00
39,46675,73,2022-02-06,Found a better deal,0.00
40,29153,206,2021-05-12,Product damaged during shipping,0.00
41,49557,260,2021-05-19,Defective product,109.94
42,420,439,2018-04-08,Item not as described,0.00
43,14182,215,2022-01-12,Defective product,676.11
44,23217,282,2021-02-05,Product didn't meet expectations,0.00
45,49312,93,2016-05-10,Received wrong product,0.00
46,31151,75,2022-06-01,Received wrong product,574.84
47,40628,25,2016-01-12,Found a better deal,59.24
48,6716,332,2022-11-21,Found a better deal,0.00
49,29219,64,2021-01-07,Found a better deal,0.00
50,32893,394,2020-09-07,Defective product,214.62
51,42410,69,2019-11-20,Ordered by mistake,0.00
52,10640,141,2019-05-05,Product didn't meet expectations,0.00
53,43384,133,2022-12-28,Received wrong product,0.00
54,26255,365,2016-04-15,Received wrong product,0.00
55,41903,190,2020-10-10,Defective product,0.00
56,21449,104,2018-07-12,Color doesn't match,80.58
57,13872,269,2018-11-25,Item not as described,0.00
58,4046,31,2017-11-17,Color doesn't match,0.00
59,34403,44,2017-01-22,Found a better deal,0.00
60,5224,255,2022-07-20,Ordered by mistake,0.00
61,23854,279,2016-09-13,Color doesn't match,3.01
62,17534,170,2021-03-08,Size doesn't fit,0.00
63,38098,13,2019-02-17,Size doesn't fit,0.00
64,43985,265,2016-02-27,Defective product,0.00
65,15849,88,2018-09-05,Changed my mind,0.00
66,12220,188,2019-01-04,Product didn't meet expectations,473.20
67,39500,463,2016-03-09,Size doesn't fit,0.00
68,47793,260,2021-03-29,Found a better deal,0.00
69,40777,432,2021-07-13,Size doesn't fit,214.30
70,35318,355,2016-06-15,Found a better deal,0.00
71,45274,278,2022-08-05,Changed my mind,0.00
72,38355,218,2019-12-22,Ordered by mistake,0.00
73,42281,418,2022-07-24,Received wrong product,0.00
74,11907,391,2022-07-15,Product damaged during shipping,46.22
75,28639,429,2019-02-25,Changed my mind,0.00
76,37227,484,2018-03-27,Defective product,0.00
77,41620,314,2018-03-10,Item not as described,0.00
78,35390,164,2017-12-12,Found a better deal,509.52
79,12061,128,2020-08-29,Defective product,0.00
80,33566,273,2017-01-23,Received wrong product,0.00
81,42820,392,2018-05-15,Color doesn't match,726.00
82,1373,134,2017-02-12,Defective product,489.88
83,24787,196,2018-12-01,Found a better deal,17.63
84,20691,450,2017-05-09,Color doesn't match,0.00
85,1748,177,2018-09-01,Found a better deal,881.77
86,2186,284,2019-12-30,Changed my mind,347.69
87,18879,166,2017-07-02,Ordered by mistake,99.38
88,20759,160,2020-09-08,Item not as described,1354.97
89,32153,50,2020-02-27,Color doesn't match,0.00
